"County","State","Years_of_Potential_Life_Lost_Rate","Fair_Poor","Physically_Unhealthy_Days","Mentally_Unhealthy_Days","LBW","Smokers","Obese","Food_Environment_Index","Physically_Inactive","With_Access","Excessive_Drinking","Alcohol_Impaired","Chlamydia_Rate","Teen_Birth_Rate","Uninsured","PCP_Rate","Dentist_Rate","MHP_Rate","Preventable_Hosp__Rate","Screened","Vaccinated","Graduation_Rate","Population_25_44","Some_College","Unemployed","Children_in_Poverty","Income_Ratio","Single_Parent_Households","Association_Rate","Violent_Crime_Rate","Injury_Death_Rate","Average_Daily_PM2_5","Presence_of_violation","Severe_Housing_Problems","Drive_Alone","Long_Commute_Drives_Alone"
"Autauga_Alabama","Alabama",8824.0571232,18.411124355,4.2005779826,4.3067392835,8.4757194245,19.124658497,37.5,7.2,31.1,68.677502703,16.878015122,28.813559322,341.2,26.52420801,8.5009665017,41.50426,32.4301,16.21505,6599,44,41,90,14298,60.854664988,3.8635223281,19.3,4.6366638778,24.700096863,12.631730908,272.28222006,74.031808398,11.7,"No",14.954645747,85.965056526,38.3
"Baldwin_Alabama","Alabama",7224.6321603,18.060457821,4.0987477691,4.2496487805,8.3386827577,16.795485149,31,8,23.8,71.971031191,16.71496869,31.875,338.8,29.594009426,10.699288042,72.87966,49.85232,91.23916,3833,45,45,86.361576801,48116,66.133926345,3.9883364094,14.7,4.5185596041,25.18409096,10.692212904,203.66039629,69.374288987,10.3,"Yes",13.831725255,84.719423478,40.5
"Barbour_Alabama","Alabama",9586.165037,25.773415631,5.0674383044,4.634994147,10.952623535,21.540877567,44.3,5.6,28.2,53.625669228,12.698715423,29.62962963,557.9,45.092838196,12.513196644,38.51338,35.61535,7.91452,4736,46,37,81.41025641,6956,36.774008051,5.900922778,50.3,5.7550626063,57.21574344,8.4729443482,414.27786068,72.90013441,11.5,"No",15.455531453,83.404353334,33.8
"Bibb_Alabama","Alabama",11783.543675,19.996911856,4.3633772783,4.3157100192,11.105002749,19.916404243,37.8,7.6,34.9,16.251363736,15.925150788,27.272727273,302.1,45.454545455,9.6800752764,57.41289,26.46903,8.82301,5998,44,39,83.763837638,6212,48.406310367,4.3851399012,27.3,4.2545944386,29.565403554,10.15766462,89.349125982,100.0779368,11.2,"No",10.960854093,86.365902293,48.6
"Blount_Alabama","Alabama",10908.101822,21.095323159,4.5127526482,4.7015992588,7.9268292683,19.652158178,34.4,8.5,28.5,22.949303932,15.378721894,21.875,114.3,35.600555238,12.114004163,22.52877,20.68502,10.34251,4162,36,38,93.468795356,13831,54.413997542,4.0213929942,18.5,4.1268834637,29.569732938,9.0115070012,482.69061089,105.1972275,11.7,"No",10.401153015,86.792275082,59.7
"Bullock_Alabama","Alabama",12066.910263,29.407713883,5.2266193898,4.7919184772,13.73200443,23.478291175,39.4,4.2,29.2,26.69048928,12.896317308,60.714285714,733.9,54.593175853,13.206483439,28.95194,19.40052,9.70026,6767,44,26,70.247933884,2784,33.620689655,4.9251870324,48.3,6.5995234786,76.157407407,9.6506465933,311.0273327,109.91093424,11.2,"No",20.759837178,73.076923077,47.3
"Butler_Alabama","Alabama",14018.606262,26.502613197,5.1174326174,5.1345730819,12.411764706,22.197655522,40.2,6.5,34.7,48.57974889,13.042811266,31.25,827.7,42.14559387,10.667084247,30.003,30.26482,35.30895,7962,42,35,81.589958159,4872,38.444170772,5.4884864744,33,5.1227855834,52.564384768,11.501150115,581.58400519,95.486283793,10.6,"No",13.780260708,83.562901745,31.8
"Calhoun_Alabama","Alabama",12217.759984,19.584701424,4.2904480661,4.4765721664,9.0023300148,20.462231748,37.1,6.9,30.2,44.713760416,15.431677015,17.857142857,587.5,37.049638955,11.198205872,64.56623,64.50038,98.49383,6450,33,38,92.368045649,28921,57.522215691,4.9339651617,24.2,4.9838135691,39.297771776,14.309272234,756.06654427,82.062149093,11.8,"No",14.538810763,85.022359524,30.6
"Chambers_Alabama","Alabama",11273.17098,25.219835535,5.0370446678,4.9326462099,12.446043165,22.040369624,40.3,6.3,32.4,61.864679234,13.528450886,34.210526316,792.3,49.574866695,10.656982992,50.23195,20.7635,5.93243,5511,38,43,86.23853211,7832,47.139938713,4.0788086452,29.6,4.7392343032,48.405594406,17.728924741,528.99973623,81.216123166,11.4,"No",16.068190062,87.107646935,30.9
"Cherokee_Alabama","Alabama",11294.41054,19.291593453,4.2779170785,4.6812529447,8.2324455206,19.14485261,36.3,8.5,31.8,33.429527877,15.232730666,17.857142857,169,41.122588189,11.895424837,34.98542,15.4697,19.33712,6577,33,43,94.904458599,5503,50.063601672,4.0540540541,25,4.7860693573,26.422447389,10.106899903,330.43879198,105.64384914,11.4,"No",15.469858156,84.975850375,43.4
