County;State;Years_of_Potential_Life_Lost_Rate;Fair_Poor;Physically_Unhealthy_Days;Mentally_Unhealthy_Days;LBW;Smokers;With_Access;Excessive_Drinking;Alcohol_Impaired;Chlamydia_Rate;Teen_Birth_Rate;Uninsured;PCP_Rate;Dentist_Rate;MHP_Rate;Preventable_Hosp__Rate;Screened;Vaccinated;Graduation_Rate;Population_25_44;Some_College;Unemployed
Autauga_Alabama;Alabama;8824.0571232;18.411124355;4.2005779826;4.3067392835;8.4757194245;19.124658497;68.677502703;16.878015122;28.813559322;341.2;26.52420801;8.5009665017;41.50426;32.4301;16.21505;6599;44;41;90;14298;60.854664988;3.8635223281
Baldwin_Alabama;Alabama;7224.6321603;18.060457821;4.0987477691;4.2496487805;8.3386827577;16.795485149;71.971031191;16.71496869;31.875;338.8;29.594009426;10.699288042;72.87966;49.85232;91.23916;3833;45;45;86.361576801;48116;66.133926345;3.9883364094
Barbour_Alabama;Alabama;9586.165037;25.773415631;5.0674383044;4.634994147;10.952623535;21.540877567;53.625669228;12.698715423;29.62962963;557.9;45.092838196;12.513196644;38.51338;35.61535;7.91452;4736;46;37;81.41025641;6956;36.774008051;5.900922778
Bibb_Alabama;Alabama;11783.543675;19.996911856;4.3633772783;4.3157100192;11.105002749;19.916404243;16.251363736;15.925150788;27.272727273;302.1;45.454545455;9.6800752764;57.41289;26.46903;8.82301;5998;44;39;83.763837638;6212;48.406310367;4.3851399012
Blount_Alabama;Alabama;10908.101822;21.095323159;4.5127526482;4.7015992588;7.9268292683;19.652158178;22.949303932;15.378721894;21.875;114.3;35.600555238;12.114004163;22.52877;20.68502;10.34251;4162;36;38;93.468795356;13831;54.413997542;4.0213929942
Bullock_Alabama;Alabama;12066.910263;29.407713883;5.2266193898;4.7919184772;13.73200443;23.478291175;26.69048928;12.896317308;60.714285714;733.9;54.593175853;13.206483439;28.95194;19.40052;9.70026;6767;44;26;70.247933884;2784;33.620689655;4.9251870324
Butler_Alabama;Alabama;14018.606262;26.502613197;5.1174326174;5.1345730819;12.411764706;22.197655522;48.57974889;13.042811266;31.25;827.7;42.14559387;10.667084247;30.003;30.26482;35.30895;7962;42;35;81.589958159;4872;38.444170772;5.4884864744
Calhoun_Alabama;Alabama;12217.759984;19.584701424;4.2904480661;4.4765721664;9.0023300148;20.462231748;44.713760416;15.431677015;17.857142857;587.5;37.049638955;11.198205872;64.56623;64.50038;98.49383;6450;33;38;92.368045649;28921;57.522215691;4.9339651617
Chambers_Alabama;Alabama;11273.17098;25.219835535;5.0370446678;4.9326462099;12.446043165;22.040369624;61.864679234;13.528450886;34.210526316;792.3;49.574866695;10.656982992;50.23195;20.7635;5.93243;5511;38;43;86.23853211;7832;47.139938713;4.0788086452
Cherokee_Alabama;Alabama;11294.41054;19.291593453;4.2779170785;4.6812529447;8.2324455206;19.14485261;33.429527877;15.232730666;17.857142857;169;41.122588189;11.895424837;34.98542;15.4697;19.33712;6577;33;43;94.904458599;5503;50.063601672;4.0540540541
Chilton_Alabama;Alabama;10831.917358;21.465307173;4.7362771144;4.6255724065;8.6144265698;19.673275015;47.242398552;15.064312648;18.75;307.3;49.344978166;14.211262583;18.20623;27.23126;40.84689;3791;42;40;88.205980066;11423;38.798914471;4.0485406423
Choctaw_Alabama;Alabama;12047.187077;24.111284914;4.7381487719;4.7562769582;11.004273504;19.062059567;27.563316257;13.025240355;58.333333333;375.3;30.313351499;11.283273739;38.48226;46.34994;74.88767;4778;45;36;78.632478632;2780;55.251798561;6.3883763838
Clarke_Alabama;Alabama;9688.3738435;27.70052858;5.0341224717;4.8038714851;12.954429083;20.933322707;23.864824062;13.353695283;31.25;633.4;40.77082338;11.380654426;57.39587;29.06615;66.43691;5857;40;29;90.909090909;5555;38.667866787;8.4844559585
Clay_Alabama;Alabama;9666.0412363;20.587634774;4.472032396;4.5860482369;9.5528455285;19.13940444;63.975021533;14.819133688;30;287.8;41.796200345;13.443463401;37.059;14.96222;14.96222;5644;40;41;89.808917197;2998;40.827218145;4.3698654081
Cleburne_Alabama;Alabama;11985.555305;18.30098389;4.3509719859;4.6239163437;8.8815789474;19.710511775;41.48410366;15.970047221;32;252;41.316978696;11.899599733;26.80247;21.51154;40.26846;5505;28;35;98.02955665;3512;49.914578588;4.4583768722
Coffee_Alabama;Alabama;7933.1296664;20.226871409;4.5482444526;4.606066663;8.201536376;18.201220902;57.175462481;15.528419697;40.909090909;467.5;29.525144559;10.804120795;54.65974;32.77172;53.97694;4614;40;41;92.517006803;13112;60.494203783;4.387789657
Colbert_Alabama;Alabama;10332.484038;20.249936546;4.3370482596;4.4916322024;10.030253665;18.371146454;55.282207687;15.822772615;17.808219178;473;33.979293868;9.7050100016;68.24554;42.20183;31.19266;6478;40;47;92.136752137;12976;56.049630086;5.209596397
