County;Income_Ratio;Single_Parent_Households;Association_Rate;Violent_Crime_Rate;Injury_Death_Rate;Presence_of_violation;Severe_Housing_Problems;Drive_Alone
Autauga_Alabama;4.6366638778;24.700096863;12.631730908;272.28222006;74.031808398;No;14.954645747;85.965056526
Baldwin_Alabama;4.5185596041;25.18409096;10.692212904;203.66039629;69.374288987;Yes;13.831725255;84.719423478
Barbour_Alabama;5.7550626063;57.21574344;8.4729443482;414.27786068;72.90013441;No;15.455531453;83.404353334
Bibb_Alabama;4.2545944386;29.565403554;10.15766462;89.349125982;100.0779368;No;10.960854093;86.365902293
Blount_Alabama;4.1268834637;29.569732938;9.0115070012;482.69061089;105.1972275;No;10.401153015;86.792275082
Bullock_Alabama;6.5995234786;76.157407407;9.6506465933;311.0273327;109.91093424;No;20.759837178;73.076923077
Butler_Alabama;5.1227855834;52.564384768;11.501150115;581.58400519;95.486283793;No;13.780260708;83.562901745
Calhoun_Alabama;4.9838135691;39.297771776;14.309272234;756.06654427;82.062149093;No;14.538810763;85.022359524
Chambers_Alabama;4.7392343032;48.405594406;17.728924741;528.99973623;81.216123166;No;16.068190062;87.107646935
Cherokee_Alabama;4.7860693573;26.422447389;10.106899903;330.43879198;105.64384914;No;15.469858156;84.975850375
Chilton_Alabama;4.9695319741;35.209096165;16.385607974;507.81072095;90.068370081;No;13.058207576;83.176118716
Choctaw_Alabama;5.7710777838;42.655262179;20.780420226;128.41466262;103.25402007;No;13.3632287;81.796690307
Clarke_Alabama;8.1651173934;34.635416667;18.448671696;475.31243598;79.479651587;No;12.681912682;83.664317745
Clay_Alabama;4.9053231939;37.557359689;11.858879336;309.06721281;80.056929372;Yes;14.298892989;87.523139578
Cleburne_Alabama;4.9114021572;20.487232169;8.7108013937;103.33333333;102.78178226;No;11.601731602;81.824830865
Coffee_Alabama;4.7834285714;36.810779532;15.812282825;276.20804419;59.728761155;No;12.212943633;86.646509319
Colbert_Alabama;4.9345389415;35.580138925;17.338055187;400.00735646;69.08386708;No;14.546273362;89.073318355
Conecuh_Alabama;4.9221264835;45.687477445;9.6813231142;387.40920097;90.342827255;No;17.117988395;89.966641006
Coosa_Alabama;4.2841550621;36.325459318;9.4509025612;254.8321954;115.14960162;No;16.06741573;febr.83
Covington_Alabama;4.6163329089;32.160990712;13.348283411;331.12142449;72.800701437;No;13.64548495;86.7671346
Crenshaw_Alabama;5.7631524369;39.934747145;10.781283692;331.90736097;74.594749677;No;9.9350046425;81.197647478
Cullman_Alabama;4.6220615826;27.733642282;12.610493386;129.39228552;96.987523545;No;13.632731341;88.273265196
Dale_Alabama;5.234291606;;11.17295738;436.72141878;72.761080906;No;12.723449001;87.121585642
Dallas_Alabama;6.5462278107;68.917567027;13.99720056;924.56116843;103.40045379;No;22.997258605;86.588921283
DeKalb_Alabama;4.6518184037;32.662051605;9.0267983075;312.33068808;93.330522173;No;13.092144713;86.524368552
Elmore_Alabama;4.3525155925;33.545624245;10.88032861;238.67666368;77.429250559;No;11.291448517;86.207002175
Escambia_Alabama;5.5611456849;44.128242075;15.108142494;446.24531575;120.83951664;No;11.932650073;91.29741524
Etowah_Alabama;4.7154733627;36.988199535;15.795015795;603.96261974;87.236690589;No;12.192982456;84.844809663
Fayette_Alabama;5.0302250379;32.879432624;10.274386559;151.52920803;98.137775863;No;12.793176972;84.217314203
Franklin_Alabama;4.2616599443;43.895800933;9.8014417605;264.23443643;90.533833063;No;12.312186978;84.90687219
Geneva_Alabama;4.9073682903;41.730802121;9.0178101751;413.57112113;78.798658171;No;11.483031148;83.51626813
Greene_Alabama;5.6438562513;77.388694347;10.686297791;669.34404284;77.595936795;No;17.máj;80.016652789
Hale_Alabama;6.0388564857;59.050359712;6.0192616372;208.55807264;82.204131421;No;17.890295359;90.442890443
Henry_Alabama;5.1380952381;26.547921968;17.478443253;197.37229718;72.077937176;No;11.16751269;85.943190095
Houston_Alabama;5.0125725884;44.097894607;13.069885446;487.78848416;71.86282271;No;13.152187779;89.185715597
Jackson_Alabama;5.125297383;32.610241821;9.2063370287;316.98494808;98.442472203;No;9.6916299559;87.023779725
Jefferson_Alabama;5.432477737;43.666324741;14.495368608;872.75002018;92.139165298;No;17.734641475;84.384946513
Lamar_Alabama;4.7471857411;23.517915309;8.621928438;162.21172156;82.772005937;No;11.563517915;84.35207824
Lauderdale_Alabama;4.5488406253;35.721210815;15.056652007;268.60320916;69.710474916;No;12.768712769;87.998573684
Lawrence_Alabama;4.9500895255;30.015229129;13.235471062;260.45300219;96.712960738;No;11.451791651;86.642276423
Lee_Alabama;6.2310449237;37.615551526;8.1136668113;415.63740099;55.443702924;No;19.914290712;84.749421525
Limestone_Alabama;5.091074856;26.194414253;9.3797505202;160.12374188;56.494710437;No;11.066273475;88.309873732
Lowndes_Alabama;5.7636379506;73.324851569;6.7580614018;671.01922379;124.5807379;No;21.144859813;84.448991523
Macon_Alabama;6.4266948779;59.760023412;7.9101408005;734.31241656;91.727818546;Yes;20.786516854;79.256060184
Madison_Alabama;5.1052847867;31.056630275;10.757296893;610.72315915;62.319988825;Yes;12.561245599;87.74498412
Marengo_Alabama;6.864045645;51.124834583;20.8407462;449.41524948;89.590400741;No;18.115942029;87.970039743
Marion_Alabama;4.7579269069;29.853829044;11.000733382;295.8973336;95.614990306;No;12.22965002;85.295382234
Marshall_Alabama;4.7772874539;33.266146325;9.7733219837;286.26908241;86.768626823;No;13.922942207;84.760142725
Mobile_Alabama;5.250730173;44.092421329;11.233354868;548.14738002;80.785651311;No;17.030935858;86.061247275
Monroe_Alabama;7.9609346025;53.697495563;14.862981886;492.30914187;84.626493612;No;12.314098751;91.130747832
Montgomery_Alabama;5.5336008591;52.333320869;15.065231125;531.7145579;69.765675641;No;18.837261253;84.816293051
Morgan_Alabama;4.7021961185;32.249541284;12.351695627;180.73324863;76.408915044;No;13.139396561;89.716147981
Perry_Alabama;5.3772077376;79.776847978;10.444955087;381.4147018;72.29761831;No;20.289855072;84.747847478
